year,category,occupation,count_all,count_category_all,year_total,percentage,salary
1950,Transportation and Material Moving,"Sailors and marine oilers, and ship engineers",59708,6732432,152212600,4.423045135553824,20031.528571428575
1950,Transportation and Material Moving,Driver/Sales Workers and Truck Drivers,1704613,6732432,152212600,4.423045135553824,22185.573416468727
1950,Transportation and Material Moving,"Railroad Brake, Signal, and Switch Operators",149057,6732432,152212600,4.423045135553824,29895.437219730946
1950,Transportation and Material Moving,"Material moving workers, nec",3443760,6732432,152212600,4.423045135553824,16810.467184910813
1950,Transportation and Material Moving,Ship and Boat Captains and Operators,51423,6732432,152212600,4.423045135553824,37139.030479452056
1950,Transportation and Material Moving,Locomotive Engineers and Operators,140704,6732432,152212600,4.423045135553824,37202.83783783784
1950,Transportation and Material Moving,Automotive and Watercraft Service Attendants,264355,6732432,152212600,4.423045135553824,15699.4761875
1950,Transportation and Material Moving,"Transportation workers, nec",28745,6732432,152212600,4.423045135553824,22109.360465116282
1950,Transportation and Material Moving,Taxi Drivers and Chauffeurs,214959,6732432,152212600,4.423045135553824,19507.6709375
1950,Transportation and Material Moving,"Dredge, Excavating, and Loading Machine Operators",115826,6732432,152212600,4.423045135553824,27207.737388724036
1950,Transportation and Material Moving,Bus and Ambulance Drivers and Attendants,162062,6732432,152212600,4.423045135553824,25108.14495884774
1950,Transportation and Material Moving,Crane and Tower Operators,111734,6732432,152212600,4.423045135553824,27627.786764705885
1950,Transportation and Material Moving,"Conveyor operators and tenders, and hoist and winch operators",73562,6732432,152212600,4.423045135553824,21843.409090909092
1950,Transportation and Material Moving,Cleaners of Vehicles and Equipment,99714,6732432,152212600,4.423045135553824,14501.116666666667
1950,Transportation and Material Moving,"Subway, Streetcar, and Other Rail Transportation Workers",25999,6732432,152212600,4.423045135553824,30290.88235294118
1950,Transportation and Material Moving,Railroad Conductors and Yardmasters,69223,6732432,152212600,4.423045135553824,37183.60328638498
1950,Transportation and Material Moving,Aircraft Pilots and Flight Engineers,16988,6732432,152212600,4.423045135553824,54912.76041666667
1950,No Occupation,"Unemployed, with No Work Experience in the Last 5 Years or Earlier or Never Worked",90860200,90860200,152212600,59.69295577370073,2660.3824781267704
1950,"Management in Business, Science, and Arts","Farmers, Ranchers, and Other Agricultural Managers",4415727,9230730,152212600,6.06436655046954,16460.058839153193
